site,Row,Year,Year.order,worms,deer,Drybiomass.mean,I.Actaea,I.Actaea.leaf.width,Actaea.final,Actaea.final,Adiantum.S,Adiantum.final,Agrimonia.S,Agrimonia.final,Arisaema.S,Arisaema.final,Allium.S,Allium.final,Brachyelytrum.S,Brachyelytrum.final,Carex.S,Carex.final,Caulophyllum.S,Caulophyllum.final,Dryopteris.S,Dryopteris.final,Maianthemum.S,Maianthemum.final,Polygonatum.S,Polygonatum.final,Polygonum.S,Polygonum.final,Polystichum.S,Polystichum.final,Quercus.S,Quercus.final,Sanguinaria.S,Sanguinaria.final,Thalictrum.S,Thalictrum.neg,Thalictrum.final,Tiarella.S,Tiarella.final,Trillium.S,Trillium.final,Fraxinus.S,Geum.S,Geum.final,Geranium.S,Geranium.final,Actaea.NS,Agrimonia.NS,Allium.NS,Arisaema.NS,Brachyelytrum.NS,Caulophyllum.NS,Geranium.NS,Geum.NS,Maianthemum.NS,Polygonatum.NS,Polygonum.NS,Sanguinaria.NS,Thalictrum.NS,Tiarella.NS,Trillium.NS,Actaea.H,Adiantum.H,Agrimonia.H,Allium.H,Arisaema.H,Brachyelytrum.H,Caulophyllum.H,Dryopteris.H,Geum.H,Geranium.H,Maianthemum.H,Polygonatum.H,Polygonum.H,Polystichum.H,Quercus.H,Thalictrum.H,Fraxinus.H,Actaea.W,Adiantum.W,Agrimonia.W,Allium.W,Caulophyllum.W,Geum.W,Maianthemum.W,Polygonatum.W,Polygonum.W,Quercus.W,Sanguinaria.W,Tiarella.W,Trillium.W,Actaea.i,Adiantum.i,Agrimonia.i,Allium.i,Arisaema.i,Brachyelytrum.i,Caulophyllum.i,Carex.i,Dryopteris.i,Geranium.i,Geum.i,Maianthemum.i,Polygonatum.i,Polygonum.i,Polystichum.i,Quercus.i,Sanguinaria.i,Thalictrum.i,Tiarella.i,Trillium.i,Quercus.d,Actaea.B,Adiantum.B,Agrimonia.B,Allium.B,Arisaema.B,Brachyelytrum.B,Carex.B,Caulophyllum.B,Dryopteris.B,Geranium.B,Geum.B,Maianthemum.B,Polygonatum.B,Polygonum.B,Polystichum.B,Quercus.B,Sanguinaria.B,Thalictrum.B,Tiarella.B,Trillium.B,Adiantum.NFr,Dryopteris.NFr,Polystichum.NFr,Actaea.F,Agrimonia.F,Arisaema.F,Brachyelytrum.F,Carex.F,Geranium.F,Geum.F,Maianthemum.F,Polygonatum.F,Polygonum.F,Thalictrum.F,Tiarella.F,Trillium.F,Actaea.NF,Agrimonia.NF,Arisaema.NF,Brachyelytrum.NF,Carex.NF,Geum.NF,Maianthemum.NF,Polygonatum.NF,Polygonum.NF,Thalictrum.NF,Tiarella.NF,Trillium.NF,Agrimonia.FH,Polygonum.FH,Arissaema.gender,Carex.NC,Geum.propagules,Tiarella.NT,Tiarella.TL,Tiarella.Sarea,Trillium.NL,Actaea.mattype,Actaea.SPAD,Adiantum.ID,I.Adiantum,Adiantum.mattype,Agrimonia.ID,I.Agrimonia,I.Agrimonia.W,I.Agrimonia.NL,Agrimonia.mattype,Allium.ID,I.Allium.leaf,I.Allium,I.Allium.leaf.width,Allium.mattype,Allium.SPAD,Arisaema.ID,I.Arisaema,I.Arisaema.width,Arisaema.mattype,Arisaema.SPAD,Brach.ID,I.Brachyelytrum,I.Brachyelytrum.NL,I.Brachyelytrum.NS,Brachyelytrum.mattype,Brachyelytrum.SPAD,Carex.ID,I.Carex,I.Carex.height,I.Carex.NF,Carex.mattype,Caulophyllum.ID,I.Caulophyllum,I.Caulophyllum.W,I.Caulophyllum.NS,Caulophyllum.mattype,Caulophyllum.SPAD,Dryopteris.ID,I.Dryopteris.sp,I.Dryopteris,Dryopteris.mattype,Fraxinus.ID,I.Fraxinus,Fraxinus.LL,Fraxinus.B,Fraxinus.native,Fraxinus.nonnative,Fraxinus.mat,Fraxinus.bare,Fraxinus.mattype,Geranium.ID,I.Geranium,I.Geranium.width,I.Geranium.NS,Geranium.mattype,Geranium.SPAD,Geum.ID,I.Geum,I.Geum.width,I.Geum.NL,Geum.mattype,Maianthemum.ID,I.Maianthemum.NL,I.Maianthemum,Maianthemum.NL,Maianthemum.mattype,Maianthemum.SPAD,Polygonatum.ID,I.Polygonatum.NL,I.Polygonatum,I.Polygonatum.NS,Polygonatum.NL,Polygonatum.mattype,Polygonatum.SPAD,Polygonum.ID,I.Polygonum,I.Polygonum.NL,Polygonum.mattype,Polygonum.SPAD,Polystichum.ID,I.Polystichum,I.Polystichum.NOFr,I.Polystichum.NNFr,Polystichum.mattype,Polystichum.SPAD,Quercus.ID,I.Quercus,I.Quercus.NL,I.Quercus.B,Quercus.NL,Quercus.mattype,Sanguinaria.ID,I.Sanguinaria.height,I.Sanguinaria,I.Sanguinaria.NL,Sanguinaria.F,Sanguinaria.mattype,Sanguinaria.SPAD,Thalictrum.ID,I.Thalictrum,Thalictrum.mattype,Thalictrum.SPAD,Tiarella.ID,I.Tiarella.NL,I.Tiarella,Tiarella.mattype,Tiarella.SPAD,Trillium.ID,I.Trillium,I.Trillium.NS,Trillium.mattype,Trillium.SPAD
BOB,1,2012,1,1,1,2.162666667,3.7,2.9,1,1,,,1,1,,,,,,,1,1,0,1,,,,,0,1,1,,,,,,0,0,,,,,,,,1,1,1,,,1,1,,,,,,1,,,1,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,14,6.44,None,15,5.5,3.3,3,None,16,1,18.2,0.5,None,,5,5.2,7.1,None,,1,6,3,,None,,2,7,18.5,0,None,10,13.2,3.6,1,None,,19,m,15.96,None,17,4,,i,10,0,0,90,None,11,9.3,4.8,,None,,8,4.5,2.7,1,None,5,,,,None,,9,3,6.8,1,,None,,20,6.4,3,None,,18,35.22,4,3,None,,14,7.3,4,,,None,3,9,5,1,,None,,13,8,None,,6,5,2.8,None,,7,1.9,1,None,
BOB,2,2012,1,1,1,2.162666667,2.3,2.2,1,1,,,1,1,,,,,,,0,1,0,0,,,,,1,1,1,,,,,,1,1,,,,,,,,1,1,1,,,1,1,,,,,,1,,1,1,1,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,,0,0,,,0,,,,,b,,s,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,25,4.71,None,26,2.2,2.3,2,None,23,1,14.1,0.7,None,,31,6.5,7.8,None,,30,7.1,3,,None,,28,9,15.1,0,None,38,15,8.5,1,None,,40,i,44.09,None,39,6,,i,15,0,0,85,None,24,6.9,2.6,,None,,21,5.6,3,2,None,31,,,,None,,37,3,10.6,1,,None,,33,7,4,None,,36,35.57,6,1,None,,25,12.5,3,i,,None,29,6.8,2.6,1,,None,,34,3.9,None,,27,5,1.8,None,,22,0.2,1,None,
BOB,3,2012,1,1,1,2.162666667,4.1,5,1,1,,,0,0,,,,,,,0,1,0,1,,,,,1,1,1,,,,,,0,0,,,,,,,,0,1,1,,,1,,,,,,,1,,1,1,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,0,,,,,,,,0,,,,,,,,,,b,,,,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,56,5.08,None,52,2.8,1.6,2,None,58,1,14.2,0.5,None,,41,11.5,11.6,None,,46,5.8,3,,None,,60,3,3.3,0,None,53,9.5,5.2,2,None,,54,m,35.51,None,51,6,,,5,0,0,95,None,59,5.2,0,,None,,45,5.1,3.4,1,None,41,,,,None,,49,3,8.1,1,,None,,50,4.2,4,None,,43,25.57,5,1,None,,56,10.8,10,d,,None,55,6,2.5,1,,None,,57,8.2,None,,47,5,1.8,None,,42,1.1,1,None,
BOB,4,2012,1,1,1,2.162666667,2.1,2.3,1,1,,,0,0,,,,,,,1,1,0,1,,,,,1,1,1,,,,,,0,0,,,,,,,,0,1,1,,,1,,,,,,,1,,1,1,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,0,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,61,9.78,None,65,3.2,1.6,3,None,79,1,15,0.4,None,,73,7.3,9.3,None,,72,9,4,,None,,77,10,12.1,0,None,76,10,7.2,1,None,,66,i,14.77,None,70,4,,r,5,0,0,95,None,64,6,2.5,,None,,80,2.8,3.9,3,None,73,,,,None,,74,3,6.5,1,,None,,68,5.5,2,None,,71,27.79,6,0,None,,61,10.5,4,,,None,69,11.5,3.1,1,,None,,62,4.3,None,,75,3,1.2,None,,63,1.3,1,None,
BOB,5,2012,1,1,1,2.162666667,3.5,4.5,1,1,,,1,1,,,,,,,1,1,1,1,,,,,1,1,1,,,,,,0,0,,,,,,,,1,1,1,,,1,1,,,,1,,1,,1,1,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,0,0,,,0,,0,0,,,,,,,,i,,,,,,,s,,,b,,,s,,,,,,,,,,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,91,5.06,None,97,7.5,4.4,3,None,96,1,14.8,0.6,None,,86,6.2,8.6,None,,100,6.5,4,,None,,99,3,29.1,0,None,87,18.4,9.8,1,None,,90,i,8.57,None,85,4,,s,3,0,0,97,None,93,6.9,3.8,2,None,,92,4.6,2.1,1,None,84,,,,None,,88,4,12.1,1,,None,,83,5.5,4,None,,95,43.77,4,2,None,,91,9.2,20,d,,None,81,7.4,2.8,1,,None,,98,5.6,None,,94,6,2.1,None,,82,1.2,1,None,
BOB,6,2012,1,1,1,2.162666667,3.7,3.4,0,0,,,1,1,,,,,,,1,1,0,0,,,,,1,1,1,,,,,,0,0,,,,,,,,0,0,0,,,,1,,,,,,,,1,1,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,116,6.58,None,111,3.3,2.1,2,None,109,1,9.8,0.1,None,,117,7.8,7.6,None,,115,5.2,3,,None,,104,3,18.2,0,None,103,3.2,3.2,1,None,,113,m,42.46,None,110,2,,r,2,0,0,98,None,112,7.5,3.7,,None,,118,6.8,3.2,1,None,117,,,,None,,120,4,10.5,1,,None,,102,8.1,3,None,,101,18.15,2,1,None,,116,10.5,4,,,None,105,14.1,5.1,1,,None,,106,6.9,None,,114,6,3.2,None,,107,0.6,1,None,
BOB,7,2012,1,1,1,2.162666667,1.7,1.8,1,1,,,0,0,,,,,,,1,1,1,1,,,,,1,1,0,,,,,,0,0,,,,,,,,0,1,1,,,1,,,,,1,,1,,1,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,0,,0,,,,,,,,,0,,,,,,,s,,,,,,r,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,132,5.07,None,129,0.6,0.6,2,None,133,1,9.6,0.4,None,,135,7,9.6,None,,134,8.4,5,,None,,139,3,19.9,0,None,136,10,8.1,1,None,,131,i,15.5,None,126,3,,,1,0,0,99,None,127,5.2,4.3,,None,,128,7.3,3.2,2,None,135,,,,None,,140,2,3.5,1,,None,,130,5,3,None,,124,31.15,4,1,None,,132,10.8,7,,,None,138,8.1,2.9,1,,None,,125,5.8,None,,121,4,1.8,None,,137,1.1,1,None,
BOB,8,2012,1,1,1,2.162666667,4.4,4,1,1,,,0,0,,,,,,,1,1,1,1,,,,,1,1,0,,,,,,0,0,,,,,,,,1,0,0,,,1,,,,,1,,,,1,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,,,0,,,,,,,,,0,,,,,,,s,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,None,,146,4.26,None,142,5.5,2.2,2,None,150,1,16,0.9,None,,151,7.2,6.3,None,,159,10.9,7,2,None,,147,3,30,0,None,152,11,10.5,1,None,,149,i,19.21,None,144,4,,i,30,0,0,70,None,155,0,0,,None,,157,2.1,1.3,1,None,151,,,,None,,154,2,5.1,1,,None,,156,3.2,3,None,,158,46.41,6,2,None,,146,12,5,,,None,153,1.5,2.4,1,,None,,145,8.5,None,,143,5,3.1,None,,160,1.4,1,None,
BOB,9,2012,1,1,1,2.162666667,2,2.6,1,1,,,0,0,,,,,,,1,1,1,1,,,,,0,1,1,,,,,,0,0,,,,,,,,1,0,0,,,1,,,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,,0,,,,,,,s,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,180,5.47,None,170,6.5,2.2,2,None,168,1,14.1,0.6,None,,175,,,None,,171,3.5,0,,None,,166,10,12.4,0,None,162,10.5,8.8,1,None,,174,i,12.5,None,176,4,,,0,0,0,100,None,172,0,0,,None,,177,2.8,1.9,2,None,175,,,,None,,163,4,10,1,,None,,179,5.5,3,None,,178,8.33,2,2,None,,180,12.8,7,,,None,169,14.2,4.5,1,,None,,165,8.4,None,,167,5,1.8,None,,164,1.2,1,None,
BOB,10,2012,1,1,1,2.162666667,2.8,2.8,1,1,,,0,0,,,,,,,1,1,0,1,,,,,0,1,1,,,,,,0,0,,,,,,,,1,0,0,,,1,,,,,,,,,,1,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,192,3.25,None,182,4.2,23,2,None,200,1,16.6,0.5,None,,197,,,None,,183,7.8,4,,None,,185,3,21.2,0,None,194,14,6.2,1,None,,184,i,20.01,None,191,4,,s,1,0,0,99,None,190,5.6,0,,None,,181,7.1,3.2,2,None,197,,,,None,,188,1,3,1,,None,,199,4.3,4,None,,189,6.68,4,0,None,,192,7,5,,,None,186,8.4,3.1,1,,None,,195,7.9,None,,187,4,1.7,None,,193,1.1,1,None,
